date,city,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface
23-01-01,Algeirs,11.993916449890136,0.004968977706473917,56.92187641183141,0.060422886009603355,0.8045176270478799,11.627114064279692,0.04578381862593053
23-01-02,Algeirs,11.302521295050713,0.005097167074230809,61.12013139763926,0.264826338189599,0.617106973751618,11.865137017542315,0.441670382289082
23-01-03,Algeirs,11.262698334085915,0.005360856214392517,64.01846068410512,0.26631854584243264,0.47859326078403397,12.178634477671118,0.1491024348635236
23-01-04,Algeirs,11.57344662498322,0.005605273408554451,65.47716227655228,0.33355880720562614,0.5100123524906055,12.783577300033189,0.07180206071650125
23-01-05,Algeirs,11.671199008430673,0.005430426794559,62.93674540758576,0.3421702624814454,1.1709112671468893,12.930223762391888,0.1960515857630273
23-01-06,Algeirs,12.303845633940025,0.005764881917424437,63.82570246199965,0.7992025290483886,0.8779105144198941,13.74805078360786,0.05407199906947891
23-01-07,Algeirs,11.084414507319432,0.005851217238188621,69.78941932802756,1.6723843012186117,-0.10410727341049138,13.71357647850555,0.9169844331575684
23-01-08,Algeirs,12.45044198107207,0.006029610643739803,66.17716656019242,0.8150234107381302,0.7283613126969734,14.039903327149727,0.11594389733250621
23-01-09,Algeirs,11.973784834220636,0.006259353510089315,70.69145094871374,0.8262977632780829,0.2993967966669292,13.836977145993718,0.20509460297766752
23-01-10,Algeirs,11.434224115234631,0.005960786688576386,69.9222132133713,0.8563833913446902,0.258882451840997,13.031200217459322,0.19632807653535983
23-01-11,Algeirs,10.769277397515621,0.005599494545353867,68.57786376267006,0.95387768852427,0.39212327911515305,12.40009900568326,0.3794107669044665
23-01-12,Algeirs,9.836454680658308,0.005595266693493588,72.3876959178643,1.677227914093102,0.42908824345985774,12.133872636274504,0.5269400395471464
23-01-13,Algeirs,10.41789881798544,0.0057934390118240696,72.31934954323633,2.364106758655766,0.7593810970794348,12.598232225430367,0.5373468517369727
23-01-14,Algeirs,9.35798652734132,0.005173718659679079,69.09590650438966,2.6552228148566233,0.7503093782214433,11.306475697850656,0.9205305908808934
23-01-15,Algeirs,8.93783645405084,0.005145366191303964,70.48890407232582,2.9724850657582373,0.664545771147916,11.595005753203745,0.9204833378566997
23-01-16,Algeirs,8.90493711443172,0.00496795710344082,68.50659866811472,2.808489480679513,0.6259716362776722,11.908861946076081,0.8429803815136476
